sp_id;title;keywords;strength_tags;tools_stack;pitch_2lines;evidence;proof_link;metrics;priority;last_updated
SP011;Trading;"market making; order book; PnL; risk limits; hedging; intraday strategies; execution; alpha generation; trading systématique; stratégies quantitatives; gestion du PnL; limites de risque; algorithmes d'exécution; microstructure de marché";"quant; finance; trading";"Python;VBA;SQL;Excel";Développement et support de stratégies de trading quantitatif, monitoring du PnL et des limites de risque, implémentation d'algorithmes d'exécution et génération d'alpha sur marchés actions, taux et dérivés.;;;;3;2026-04-01
SP012;Equity;"stocks; options; derivatives; volatility; hedging; trading; sector analysis; portfolio impact; actions; analyse sectorielle; valorisation actions; equity derivatives; volatilité implicite; dividendes; corrélation actions";"quant; finance";"Python;Excel;Bloomberg";Analyse d'instruments actions et dérivés actions (options, variance swaps), pricing de produits equity, support aux stratégies de trading et analyse de l'impact portefeuille sur les marchés actions européens et internationaux.;;;;3;2026-04-01
SP013;Fixed Income;"bonds; interest rates; credit spreads; duration; convexity; yield curves; pricing; swaps; obligations; revenus fixes; spreads de crédit; duration modifiée; convexité; courbe gouvernementale; OAT; Bund; obligations corporate";"quant; finance";"Python;C++;Excel;QuantLib";Analyse de produits obligataires et de taux (souverains, corporate), pricing et couverture d'obligations et de swaps, gestion du risque de duration et de spread de crédit dans des portefeuilles de revenu fixe.;;;;5;2026-04-01
SP014;Credit Modeling;"default probability; PD; LGD; EAD; credit risk; portfolio risk; stress testing; probabilité de défaut; modélisation du crédit; risque de crédit; notation interne; IFRS 9; ECL; modèles de scoring crédit; concentration de crédit";"quant; finance; risk";"Python;R;SQL";Construction de modèles de risque de crédit (PD, LGD, EAD) conformes aux exigences réglementaires (IFRS 9, Bâle III), stress testing de portefeuilles et estimation des pertes attendues pour des expositions corporate et retail.;;;;3;2026-04-01
SP015;Structuring;"derivatives; bespoke products; payoff engineering; risk analysis; hedging; multi-asset; exotic; structuration; ingénierie de payoff; produits sur mesure; fonds structurés; EMTN; PPE; protection du capital; rendement conditionnel";"quant; finance; structuring";"Python;C++;Excel";Conception de produits structurés et de dérivés exotiques sur mesure, ingénierie des payoffs, pricing et stratégies de couverture pour des clients institutionnels et de gestion de patrimoine.;;;;4;2026-04-01
SP016;Backtesting;"strategy validation; historical simulation; PnL analysis; metrics; trading strategy; alpha; risk; backtesting; validation de stratégie; simulation historique; analyse de performance; drawdown; ratio de Sharpe; transaction costs; walk-forward";"quant; finance";"Python;R;Excel";Validation de stratégies de trading et de modèles quantitatifs par simulation historique robuste, analyse des métriques de performance (Sharpe, drawdown, hit ratio) et prise en compte des coûts de transaction.;;;;3;2026-04-01
SP017;Data Engineering;"data pipelines; ETL; SQL; cloud; Python; data cleaning; data wrangling; big data; pipelines de données; ingénierie des données; qualité des données; bases de données financières; données de marché; référentiels; API financières; Bloomberg API";"data; quant";"Python;SQL;AWS;GCP;Spark";Construction et maintenance de pipelines de données financières (données de marché, référentiels, données alternatives), garantie de la qualité et de l'accessibilité des données pour les équipes quant et risque.;;;;2;2026-04-01
SP018;Reporting & Visualization;"BI; dashboards; Tableau; PowerBI; Python; Excel; storytelling; KPI; reporting; tableaux de bord; visualisation financière; reporting réglementaire; reporting ESG; communication aux investisseurs; indicateurs de performance; pitch book";"finance; data";"Python;Tableau;PowerBI";Création de tableaux de bord interactifs et de rapports visuels pour communiquer les performances financières, les risques et les indicateurs ESG aux équipes de gestion, aux comités et aux investisseurs institutionnels.;;;;2;2026-04-01
SP019;Multi-Asset Risk;"portfolio risk; factor analysis; sensitivities; VaR; ES; stress testing; MSCI RiskMetrics; correlation; covariance; risque multi-actifs; décomposition factorielle; contribution au risque; corrélations inter-actifs; risque actions; risque taux; risque crédit; risque FX";"quant; finance; risk; asset management";"Python;Excel;SQL";Gestion des risques de portefeuilles multi-actifs (actions, taux, crédit, FX), décomposition factorielle des risques, stress tests de scénarios macroéconomiques et reporting des contributions au risque pour des mandats institutionnels.;;;;5;2026-04-01
SP020;Investor Research;"asset allocation; investor behavior; Monte Carlo; optimization; clustering; econometrics; long-term allocation; recherche investisseurs; comportement des investisseurs; allocation stratégique long terme; profilage investisseurs; gestion d'actifs; analyse de la demande; segmentation clientèle institutionnelle; fonds de pension; assureurs";"quant; finance; asset management";"Python;R;SQL";Analyse du comportement et des besoins des investisseurs institutionnels (fonds de pension, assureurs, souverains), construction de portefeuilles optimisés long terme par clustering et simulation, aide à la décision d'allocation stratégique en gestion d'actifs.;;;;5;2026-04-01
